,id,operation,thread,service,hrt,arrival,agent,parent_id,parent1,parent2
54,E67A73E3799C49F6,,-988096956,ComposePostService,1560006044750796523,2019-06-08 10:00:44.750797,ClientPool.h,['FCD526A792C18636'],FCD526A792C18636,
100,5B4D8AC7B7911C5E,,-988096956,ComposePostService,1560006044751015008,2019-06-08 10:00:44.751015,ClientPool.h,['E67A73E3799C49F6'],E67A73E3799C49F6,
122,4B1DF908959FFDDE,,1672887068,ComposePostService,1560006044751206080,2019-06-08 10:00:44.751206,ClientPool.h,['12914632F7BBF2C6'],12914632F7BBF2C6,
83,2699EA34AEE550A2,fork,-1172517378,Reference,1560006044751847777,2019-06-08 10:00:44.751848,lua_baggage.cpp,['DA41A91C5891BDC0'],DA41A91C5891BDC0,
44,0D9F4ED3F88FCF69,set,-582954215,TextService,1560006044754647595,2019-06-08 10:00:44.754647,TextHandler.h,['2699EA34AEE550A2'],2699EA34AEE550A2,
45,5B61D1399CD34E3E,,-582954215,TextService,1560006044755280156,2019-06-08 10:00:44.755280,TextHandler.h,['0D9F4ED3F88FCF69'],0D9F4ED3F88FCF69,
46,B73D0F3DBE515294,fork,-582954215,TextService,1560006044756799715,2019-06-08 10:00:44.756800,TextHandler.h,['5B61D1399CD34E3E'],5B61D1399CD34E3E,
48,4E2DE8F97DE7C08C,fork,-582954215,TextService,1560006044757255797,2019-06-08 10:00:44.757256,TextHandler.h,['B73D0F3DBE515294'],B73D0F3DBE515294,
47,1199EF100C3BC818,set,-441291297,TextService,1560006044757336571,2019-06-08 10:00:44.757337,TextHandler.h,['B73D0F3DBE515294'],B73D0F3DBE515294,
49,8AF15351FEE0448D,,-441291297,TextService,1560006044757582693,2019-06-08 10:00:44.757583,ClientPool.h,['1199EF100C3BC818'],1199EF100C3BC818,
50,E98B0878346104DA,,-441291297,TextService,1560006044757781257,2019-06-08 10:00:44.757781,ClientPool.h,['8AF15351FEE0448D'],8AF15351FEE0448D,
51,504443C601DD0053,,-441291297,TextService,1560006044757991051,2019-06-08 10:00:44.757991,ClientPool.h,['E98B0878346104DA'],E98B0878346104DA,
52,3547DBD287346273,,-441291297,TextService,1560006044758160783,2019-06-08 10:00:44.758161,ClientPool.h,['504443C601DD0053'],504443C601DD0053,
53,DB24A353A6C77B50,,-441291297,TextService,1560006044758314233,2019-06-08 10:00:44.758314,ClientPool.h,['3547DBD287346273'],3547DBD287346273,
56,91089AE4DF016B79,set,348525657,TextService,1560006044758980603,2019-06-08 10:00:44.758981,TextHandler.h,['4E2DE8F97DE7C08C'],4E2DE8F97DE7C08C,
57,D5D81AFFFB160F22,,348525657,TextService,1560006044759900731,2019-06-08 10:00:44.759901,ClientPool.h,['91089AE4DF016B79'],91089AE4DF016B79,
58,269397D79EAD9328,,348525657,TextService,1560006044760223354,2019-06-08 10:00:44.760223,ClientPool.h,['D5D81AFFFB160F22'],D5D81AFFFB160F22,
62,F7CC000D208A275D,,348525657,TextService,1560006044760514766,2019-06-08 10:00:44.760515,ClientPool.h,['269397D79EAD9328'],269397D79EAD9328,
63,8F30C6A491AFC420,,348525657,TextService,1560006044760859921,2019-06-08 10:00:44.760860,ClientPool.h,['F7CC000D208A275D'],F7CC000D208A275D,
86,5CE36F2A9EC584EF,,348525657,TextService,1560006044761160204,2019-06-08 10:00:44.761160,ClientPool.h,['8F30C6A491AFC420'],8F30C6A491AFC420,
64,9F3FBF029273BB18,,348525657,TextService,1560006044761448357,2019-06-08 10:00:44.761448,ClientPool.h,['5CE36F2A9EC584EF'],5CE36F2A9EC584EF,
65,92F39E1DDC384B7D,fork,348525657,TextService,1560006044761742064,2019-06-08 10:00:44.761742,TextHandler.h,['9F3FBF029273BB18'],9F3FBF029273BB18,
84,417426E1CEA29C82,fork,-1172517378,Reference,1560006044762220789,2019-06-08 10:00:44.762221,lua_baggage.cpp,"['2699EA34AEE550A2', 'A88729B2B7775010']",2699EA34AEE550A2,A88729B2B7775010
59,DDB9FBA9BD317A56,set,27121784,UserMentionService,1560006044762287130,2019-06-08 10:00:44.762287,UserMentionHandler.h,['92F39E1DDC384B7D'],92F39E1DDC384B7D,
60,6348420114C4ACAF,,27121784,UserMentionService,1560006044762562783,2019-06-08 10:00:44.762563,UserMentionHandler.h,['DDB9FBA9BD317A56'],DDB9FBA9BD317A56,
85,AA24DFE74C846A38,,-1172517378,Reference,1560006044762652784,2019-06-08 10:00:44.762653,luaxtrace.cpp,['417426E1CEA29C82'],417426E1CEA29C82,
61,6B241ABD1D60C300,,27121784,UserMentionService,1560006044762797183,2019-06-08 10:00:44.762797,UserMentionHandler.h,['6348420114C4ACAF'],6348420114C4ACAF,
