,id,operation,thread,service,hrt,arrival,agent,parent_id,parent1,parent2
50,15981C80DCE3159F,,244789097,SocialGraphService,1559666962750769992,2019-06-04 11:49:22.750770,ClientPool.h,['A682AEB5917F0B91'],A682AEB5917F0B91,
52,963B0C2016471A1E,unset,244789097,SocialGraphService,1559666962751042918,2019-06-04 11:49:22.751043,SocialGraphHandler.h,['15981C80DCE3159F'],15981C80DCE3159F,
51,55A8367AFB60CFB4,fork,1911989946,SocialGraphService,1559666962751372530,2019-06-04 11:49:22.751373,SocialGraphHandler.h,"['3F2056453D04E9C1', '963B0C2016471A1E']",3F2056453D04E9C1,963B0C2016471A1E
53,43FA34A9B799C045,fork,1911989946,SocialGraphService,1559666962751774267,2019-06-04 11:49:22.751774,SocialGraphHandler.h,['55A8367AFB60CFB4'],55A8367AFB60CFB4,
54,C59625C9946CB201,,1911989946,SocialGraphService,1559666962752099312,2019-06-04 11:49:22.752099,SocialGraphHandler.h,['43FA34A9B799C045'],43FA34A9B799C045,
55,CEA9D853445EAD85,fork,1911989946,SocialGraphService,1559666962752346547,2019-06-04 11:49:22.752347,SocialGraphHandler.h,['C59625C9946CB201'],C59625C9946CB201,
56,10EB1370A648BCEC,fork,1911989946,SocialGraphService,1559666962752693967,2019-06-04 11:49:22.752694,SocialGraphHandler.h,['CEA9D853445EAD85'],CEA9D853445EAD85,
57,67C2D26765E0097A,set,244789097,SocialGraphService,1559666962752765350,2019-06-04 11:49:22.752765,SocialGraphHandler.h,['CEA9D853445EAD85'],CEA9D853445EAD85,
58,8EB8DAD8BB095B11,fork,1911989946,SocialGraphService,1559666962752980208,2019-06-04 11:49:22.752980,SocialGraphHandler.h,['10EB1370A648BCEC'],10EB1370A648BCEC,
60,191891CA2A206E6A,set,-1014836911,SocialGraphService,1559666962753075041,2019-06-04 11:49:22.753075,SocialGraphHandler.h,['10EB1370A648BCEC'],10EB1370A648BCEC,
59,926FE3BEDD72A4B8,,244789097,SocialGraphService,1559666962753150416,2019-06-04 11:49:22.753150,SocialGraphHandler.h,['67C2D26765E0097A'],67C2D26765E0097A,
61,127E62FE479AB4DC,,-1014836911,SocialGraphService,1559666962753346114,2019-06-04 11:49:22.753346,SocialGraphHandler.h,['191891CA2A206E6A'],191891CA2A206E6A,
67,D92296C5DC0629E0,,244789097,SocialGraphService,1559666962753369601,2019-06-04 11:49:22.753370,SocialGraphHandler.h,['926FE3BEDD72A4B8'],926FE3BEDD72A4B8,
63,7569F66A7F5A1827,set,-561385838,SocialGraphService,1559666962753668813,2019-06-04 11:49:22.753669,SocialGraphHandler.h,['8EB8DAD8BB095B11'],8EB8DAD8BB095B11,
62,C6765ED7EA65F8BF,,-561385838,SocialGraphService,1559666962753876894,2019-06-04 11:49:22.753877,ClientPool.h,['7569F66A7F5A1827'],7569F66A7F5A1827,
64,82598626304CAACC,,-561385838,SocialGraphService,1559666962754071527,2019-06-04 11:49:22.754071,ClientPool.h,['C6765ED7EA65F8BF'],C6765ED7EA65F8BF,
65,C56899728A27E49B,,-561385838,SocialGraphService,1559666962754250853,2019-06-04 11:49:22.754251,ClientPool.h,['82598626304CAACC'],82598626304CAACC,
66,B47289AB30632CD4,,-561385838,SocialGraphService,1559666962754411293,2019-06-04 11:49:22.754411,ClientPool.h,['C56899728A27E49B'],C56899728A27E49B,
68,A205F481C7A111B0,,-561385838,SocialGraphService,1559666962754891266,2019-06-04 11:49:22.754891,ClientPool.h,['B47289AB30632CD4'],B47289AB30632CD4,
69,DB164AE2CC82E166,,-1014836911,SocialGraphService,1559666962754909543,2019-06-04 11:49:22.754910,SocialGraphHandler.h,['127E62FE479AB4DC'],127E62FE479AB4DC,
70,304EBB474D369C4F,,-561385838,SocialGraphService,1559666962755076025,2019-06-04 11:49:22.755076,ClientPool.h,['A205F481C7A111B0'],A205F481C7A111B0,
71,FB0728D580CB6AF9,unset,-1014836911,SocialGraphService,1559666962755128574,2019-06-04 11:49:22.755129,SocialGraphHandler.h,['DB164AE2CC82E166'],DB164AE2CC82E166,
72,71E61F092E54EC0E,,-561385838,SocialGraphService,1559666962755237159,2019-06-04 11:49:22.755237,SocialGraphHandler.h,['304EBB474D369C4F'],304EBB474D369C4F,
73,91CBB6DB50EB0559,,244789097,SocialGraphService,1559666962755625687,2019-06-04 11:49:22.755626,SocialGraphHandler.h,['D92296C5DC0629E0'],D92296C5DC0629E0,
