,id,operation,thread,service,hrt,arrival,agent,parent_id,parent1,parent2
55,037D7F360B14927E,set,-882014914,SocialGraphService,1559749321173117194,2019-06-05 10:42:01.173117,SocialGraphHandler.h,['2C7776E2372CBC20'],2C7776E2372CBC20,
56,41F9EAC105726FFA,fork,-930973644,SocialGraphService,1559749321173341918,2019-06-05 10:42:01.173342,SocialGraphHandler.h,['D9BABC6E5AA8F9A1'],D9BABC6E5AA8F9A1,
57,C0B2B5DDCA353A31,,-882014914,SocialGraphService,1559749321173403404,2019-06-05 10:42:01.173404,SocialGraphHandler.h,['037D7F360B14927E'],037D7F360B14927E,
60,D0C6578C7E1A766C,set,1700530225,SocialGraphService,1559749321173753387,2019-06-05 10:42:01.173753,SocialGraphHandler.h,['D9BABC6E5AA8F9A1'],D9BABC6E5AA8F9A1,
61,C258A5B3E7B6BB1F,,1700530225,SocialGraphService,1559749321174174126,2019-06-05 10:42:01.174174,SocialGraphHandler.h,['D0C6578C7E1A766C'],D0C6578C7E1A766C,
62,DD3227367B766365,,-882014914,SocialGraphService,1559749321174556006,2019-06-05 10:42:01.174556,SocialGraphHandler.h,['C0B2B5DDCA353A31'],C0B2B5DDCA353A31,
66,BA78CC80136CC565,set,-861948917,SocialGraphService,1559749321174897736,2019-06-05 10:42:01.174898,SocialGraphHandler.h,['41F9EAC105726FFA'],41F9EAC105726FFA,
65,58D2B5D6240F7A85,unset,-882014914,SocialGraphService,1559749321175372034,2019-06-05 10:42:01.175372,SocialGraphHandler.h,['DD3227367B766365'],DD3227367B766365,
63,101837A9CE67DB74,,1700530225,SocialGraphService,1559749321176125006,2019-06-05 10:42:01.176125,SocialGraphHandler.h,['C258A5B3E7B6BB1F'],C258A5B3E7B6BB1F,
64,537687A5A6FCDA7B,unset,1700530225,SocialGraphService,1559749321176385741,2019-06-05 10:42:01.176386,SocialGraphHandler.h,['101837A9CE67DB74'],101837A9CE67DB74,
67,AB8428BF85EADF87,,-861948917,SocialGraphService,1559749321177041127,2019-06-05 10:42:01.177041,ClientPool.h,['BA78CC80136CC565'],BA78CC80136CC565,
68,DB0AB4C681635CD0,,-861948917,SocialGraphService,1559749321177336241,2019-06-05 10:42:01.177336,ClientPool.h,['AB8428BF85EADF87'],AB8428BF85EADF87,
69,34469171F7942773,,-861948917,SocialGraphService,1559749321177529358,2019-06-05 10:42:01.177529,ClientPool.h,['DB0AB4C681635CD0'],DB0AB4C681635CD0,
70,3B17B837A6E5DDF9,,-861948917,SocialGraphService,1559749321177861606,2019-06-05 10:42:01.177862,ClientPool.h,['34469171F7942773'],34469171F7942773,
71,1B6F6C6BAEF6089B,,-861948917,SocialGraphService,1559749321178049438,2019-06-05 10:42:01.178049,ClientPool.h,['3B17B837A6E5DDF9'],3B17B837A6E5DDF9,
72,38EAB001B674A5FD,,-861948917,SocialGraphService,1559749321178279822,2019-06-05 10:42:01.178280,ClientPool.h,['1B6F6C6BAEF6089B'],1B6F6C6BAEF6089B,
